text;translation;gold
Cześć, jestem Nancy.;Hi, I'm Nancy.;Hello, I am Nancy.
Co robisz?;What are you doing?;What are you doing?
Muiriel ma teraz 20 lat.;Muiriel now has 20 years.;Muiriel is 20 now.
Nie zapominaj, że mamy zadanie domowe.;Do not forget that we have a homework.;Don't forget that we have homework.
Chciałbym filiżankę kawy.;I would like a cup of coffee.;I would like a cup of coffee.
Pamiętasz mnie?;Do you remember me?;Do you remember me?
To jest mojego brata.;This is my brother.;It's my brother's.
Nie brakuje niczego.;There is no lack of anything.;Nothing is missing.
Weź książkę i przeczytaj ją!;Take a book and read it!;Take a book and read it.
Kiedy byłem mały, czytałem godzinami, sam w swoim pokoju.;When I was small, I read hours, myself in my room.;When I was a child, I spent many hours reading alone in my room.
Pamiętam pierwszy raz.;I remember the first time.;I remember the first time.
Poczta przychodzi przed południem.;Post comes from the south.;The mail arrives before noon.
Nie, to nie jest mój nowy chłopak.;No, this is not my new boy.;No, he's not my new boyfriend.
Zamówiłem dwa hamburgery.;I ordered two hamburgers.;I ordered two hamburgers.
Świeczka sama zgasła.;The candle went out.;The candle went out of itself.
Wczoraj było trzęsienie ziemi.;Yesterday was the earthquake.;There was an earthquake yesterday.
Ci, co go znają, lubią go.;Those who know him like him.;Those who know him like him.
Ściany mają uszy.;Walls have ears.;The walls have ears.
Zawołajcie policję!;Call the police!;Call the police!
Czy mówi pan po włosku?;Do you speak Italian?;Do you speak Italian?
Właśnie miałem wychodzić, kiedy zadzwonił telefon.;I just had to leave when the phone rang.;I was just about to go out, when the bell rang.
Smacznego!;Tasty!;Enjoy your meal!
Bez wątpienia Wszechświat jest nieskończony.;No doubt the universe is infinite.;There's no doubt: the universe is infinite.
