text;translation;gold
Zaproszono mnie na wycieczkę zagraniczną, ale nie chcę jechać.;I was invited on a trip abroad, but I don't want to go.;I've been invited on a trip abroad, but I don't want to go.
Mówi pan po angielsku?;Do you speak English?;Do you speak English?
Mój dom jest duży.;My house is big.;My house is big.
Nie lubię szkoły.;I don't like school.;I don't like school.
Nie mówię po japońsku.;I don't speak Japanese.;I don't speak Japanese.
Rak to wielki wróg ludzkości.;Cancer is the great enemy of humanity.;Cancer is a great enemy of humanity.
Oto nasza szkoła.;This is our school.;That is our school.
Lubię jazz.;I like jazz.;I like jazz.
Pojechałem autostradą numer 58.;I drove on highway number 58.;I took Highway 58.
Dziewczyny sprzeciwiły się naszemu planowi.;The girls opposed our plan.;The girls objected to our plan.
To zdjęcie zrobiono w Narze.;This photo was taken in Nara.;This photo was taken in Nara.
W moim poduszkowcu jest pełno węgorzy.;My hovercoat is full of eels.;My hovercraft is full of eels.
Jaka pogoda?;What's the weather like?;How is the weather?
Zaraz wracam.;I'll be right back.;I will be back soon.
Hiszpania jest krajem demokratycznym od 1975 roku.;Spain has been a democratic country since 1975.;Spain has been a democracy since 1975.
Późno już.;It's late.;It's already late.
Przepraszam bardzo.;I'm very sorry.;I'm so sorry.
Gdzie on się urodził?;Where was he born?;Where was he born?
Zgubił się pan?;Are you lost?;Are you lost?
Mam pytanie.;I have a question.;I have a question.
Kocham cię.;I love you.;I love you.
Jeszcze nie odzyskał przytomności.;He hasn't regained consciousness yet.;He has not yet recovered consciousness.
Staruszek lubi przesadzać.;The old man likes to exaggerate.;The old man tends to exaggerate.
Japonia zużywa dużo papieru.;Japan uses a lot of paper.;Japan consumes a lot of paper.
Nie przywykłem do publicznych wystąpień.;I'm not used to public speaking.;I am not accustomed to making speeches in public.
Jestem głodny jak wilk.;I'm hungry as a wolf.;I'm as hungry as a bear.
Co znaczy to słowo?;What does this word mean?;What does this word mean?
Sen jest ważny, ale po co istnieje - to stanowi zagadkę.;Sleep is important, but why does it exist - it is a mystery.;Despite the importance of sleep, its purpose is a mystery.
Jest biedna, ale szczęśliwa.;She is poor, but happy.;She is poor, but she is happy.
Nie chcieć oznacza mieć.;Not wanting means not wanting to have.;Not wanting is the same as having.
Musisz iść.;You have to go.;You must go.
Hasło brzmi „Muiriel”.;The slogan is "Muiriel".;The password is "Muiriel".
Jesteśmy szczęśliwi.;We are happy.;We are happy.
W naszych szacunkach założyliśmy margines błędu.;In our estimates, we assumed a margin of error.;We left a margin for error in our estimates.
Muszę iść po zakupy, będę za godzinę.;I have to go shopping, I'll be there in an hour.;I have to go shopping. I'll be back in an hour.
Nie należę do żadnego klubu.;I don't belong to any club.;I don't belong to any club.
Jesteś pewien?;Are you sure?;Are you sure?
Gdzie są moje okulary?;Where are my glasses?;Where are my glasses?
Matka była wykończona.;Mother was exhausted.;The mother was exhausted.
Nie licz na jego pomoc.;Don't count on his help.;Don't count on his help.
Dziewczyna, która rozmawia z Johnem, to Susan.;The girl who talks to John is Susan.;The girl talking with John is Susan.
Wierzę w tę metodę nauczania.;I believe in this method of teaching.;I believe in this method of teaching.
Cześć, jestem Nancy.;Hi, I'm Nancy.;Hello, I am Nancy.
Co robisz?;What are you doing?;What are you doing?
Muiriel ma teraz 20 lat.;Muiriel is now 20 years old.;Muiriel is 20 now.
Nie zapominaj, że mamy zadanie domowe.;Don't forget that we have homework.;Don't forget that we have homework.
Chciałbym filiżankę kawy.;I'd like a cup of coffee.;I would like a cup of coffee.
Pamiętasz mnie?;Do you remember me?;Do you remember me?
To jest mojego brata.;This is my brother.;It's my brother's.
Nie brakuje niczego.;Nothing is missing.;Nothing is missing.
Weź książkę i przeczytaj ją!;Take the book and read it!;Take a book and read it.
Kiedy byłem mały, czytałem godzinami, sam w swoim pokoju.;When I was little, I read for hours, alone in my room.;When I was a child, I spent many hours reading alone in my room.
Pamiętam pierwszy raz.;I remember the first time.;I remember the first time.
Poczta przychodzi przed południem.;The post office arrives before noon.;The mail arrives before noon.
Nie, to nie jest mój nowy chłopak.;No, he's not my new boyfriend.;No, he's not my new boyfriend.
Zamówiłem dwa hamburgery.;I ordered two hamburgers.;I ordered two hamburgers.
Świeczka sama zgasła.;The candle went out by itself.;The candle went out of itself.
Wczoraj było trzęsienie ziemi.;There was an earthquake yesterday.;There was an earthquake yesterday.
Ci, co go znają, lubią go.;Those who know him like him.;Those who know him like him.
Ściany mają uszy.;The walls have ears.;The walls have ears.
Zawołajcie policję!;Call the police!;Call the police!
Czy mówi pan po włosku?;Do you speak Italian?;Do you speak Italian?
Właśnie miałem wychodzić, kiedy zadzwonił telefon.;I was about to leave when the phone rang.;I was just about to go out, when the bell rang.
Smacznego!;Enjoy your meal!;Enjoy your meal!
Bez wątpienia Wszechświat jest nieskończony.;Without a doubt, the universe is infinite.;There's no doubt: the universe is infinite.
