direction;winner;gap;text;ios;ios_score;android;android_score;gold
en-pl;android;-89.3815;It's a secret.;To tajemnica.;10.6185;To sekret.;100.0000;To sekret.
en-pl;android;-88.7028;It's a mistake.;To pomyłka.;11.2972;To błąd.;100.0000;To błąd.
en-pl;android;-88.6054;What are you implying?;Co masz na uwidze?;11.3946;Co sugerujesz?;100.0000;Co sugerujesz?
en-pl;android;-88.5190;I'm really sorry!;Bardzo mi przykro!;11.4810;Naprawdę przepraszam!;100.0000;Naprawdę przepraszam!
en-pl;android;-88.1508;Tom's missing.;Tom zaginął.;11.8492;Brakuje Toma.;100.0000;Brakuje Toma.
pl-en;ios;99.1039;Smażyłaś kiedykolwiek rybę na grillu?;Have you ever grilled fish?;100.0000;?;0.8961;Have you ever grilled fish?
pl-en;ios;98.7562;Obowiązek ponad wszystko.;Duty above all.;100.0000;OBLIGATION ONLY.;1.2438;Duty above all.
pl-en;ios;98.6772;Pozwę cię do sądu.;I'll sue you.;100.0000;SEAFT YOU TO THE COURT.;1.3228;I'll sue you.
pl-en;ios;98.6111;Spadaj stąd!;Get out of here!;100.0000;Falling!;1.3889;Get out of here!
pl-en;ios;98.5876;Wiwatowali.;They cheered.;100.0000;Wiwatowali.;1.4124;They cheered.
pl-en;ios;98.5119;Słuchałyśmy.;We listened.;100.0000;Słuchałyśmy.;1.4881;We listened.
pl-en;ios;98.2270;Pościliśmy.;We fasted.;100.0000;Pościliśmy.;1.7730;We fasted.
pl-en;ios;98.2270;Pościłyśmy.;We fasted.;100.0000;Pościłyśmy.;1.7730;We fasted.
pl-en;ios;98.2079;Nie klnij publicznie.;Don't swear in public.;100.0000;DO NOT YOUR PROPERT.;1.7921;Don't swear in public.
pl-en;ios;98.0620;Przegrałaś.;You lost.;100.0000;Przegrałaś.;1.9380;You lost.
pl-en;ios;98.0159;Przepraszam?;Excuse me?;100.0000;Sorry?;1.9841;Excuse me?
pl-en;ios;97.9675;Bzdura.;Nonsense.;100.0000;Crap.;2.0325;Nonsense.
pl-en;ios;97.9675;Zaklęłam.;I cursed.;100.0000;Zaklęłam.;2.0325;I cursed.
pl-en;ios;97.9675;Fajny tyłek!;Nice ass!;100.0000;Cool butt!;2.0325;Nice ass!
pl-en;ios;97.8070;Żenię się.;I'm getting married.;100.0000;Dry.;2.1930;I'm getting married.
pl-en;ios;97.7477;Prędko!;Quickly!;100.0000;Soon!;2.2523;Quickly!
pl-en;ios;97.6190;Pajace!;Clowns!;100.0000;Pajace!;2.3810;Clowns!
pl-en;ios;97.5490;Przybyłyśmy.;We have arrived.;100.0000;Przybyłyśmy.;2.4510;We have arrived.
pl-en;ios;97.4747;Nieźle.;Not bad.;100.0000;Well.;2.5253;Not bad.
pl-en;ios;97.3958;No i?;So what?;100.0000;And?;2.6042;So what?
pl-en;android;-97.5490;Zaiste.;Truly.;2.4510;Indeed.;100.0000;Indeed.
pl-en;android;-97.3118;Zamknij!;Shut up!;2.6882;Close!;100.0000;Close!
pl-en;android;-97.0238;Prawo!;Law!;2.9762;Right!;100.0000;Right!
pl-en;android;-95.4955;Spadaj.;Fall.;4.5045;Get lost.;100.0000;Get lost.
pl-en;android;-95.3704;Kareta.;Carry.;4.6296;Four of a kind.;100.0000;Four of a kind.
pl-en;android;-95.2381;Doprawdy.;Really.;4.7619;Indeed.;100.0000;Indeed.
pl-en;android;-94.7917;Dranie!;You're there!;5.2083;Bastards!;100.0000;Bastards!
pl-en;android;-94.5355;To już koniec.;It's over.;5.4645;This is the end.;100.0000;This is the end.
pl-en;android;-94.2529;Gotowe!;Done!;5.7471;Ready!;100.0000;Ready!
pl-en;android;-93.9394;Zrozumiałem.;I got it.;6.0606;I understood.;100.0000;I understood.
pl-en;android;-92.6593;Jestem inteligentny.;I'm smart.;7.3407;I am intelligent.;100.0000;I am intelligent.
pl-en;android;-92.1875;Być może.;Perhaps.;7.8125;Maybe.;100.0000;Maybe.
pl-en;android;-89.8070;Jestem pracownikiem.;I'm an employee.;10.1930;I am a worker.;100.0000;I am a worker.
pl-en;android;-89.6027;Nie udało się.;It didn't work.;10.3973;It failed.;100.0000;It failed.
pl-en;android;-89.1506;Rozbiłem się.;I broke down.;10.8494;I crashed.;100.0000;I crashed.
pl-en;android;-88.7626;Bądź litościwy.;Be compassionate.;11.2374;Be merciful.;100.0000;Be merciful.
pl-en;android;-88.7028;Witaj!;Hello!;11.2972;Welcome!;100.0000;Welcome!
pl-en;android;-88.7028;Witam.;Hello.;11.2972;Welcome.;100.0000;Welcome.
pl-en;android;-88.4603;Wymień to.;List it.;11.5397;Replace it.;100.0000;Replace it.
pl-en;android;-88.2532;Żadna praca nie jest prosta.;No job is easy.;11.7468;No work is simple.;100.0000;No work is simple.
