direction;winner;gap;text;ios;ios_score;android;android_score;gold
pl-en;ios;0.0455;Nie jesteś winien tego wypadku.;You are not to blame for this accident.;0.9868;You are not guilty of this accident.;0.9412;You are not to blame for the accident.
pl-en;ios;0.0430;Nie, to nie jest mój nowy chłopak.;No, he's not my new boyfriend.;1.0000;No, this is not my new boy.;0.9570;No, he's not my new boyfriend.
pl-en;ios;0.0385;Muiriel ma teraz 20 lat.;Muiriel is now 20 years old.;0.9783;Muiriel now has 20 years.;0.9398;Muiriel is 20 now.
pl-en;ios;0.0362;Dobre pytanie.;Good question.;0.9610;A good question.;0.9248;Good question!
pl-en;android;-0.0556;Hasło brzmi „Muiriel”.;"The slogan is ""Muiriel"".";0.9444;"The password is ""Muiriel"".";1.0000;"The password is ""Muiriel""."
pl-en;android;-0.0498;Zaraz wracam.;I'll be right back.;0.9206;I'll come back soon.;0.9703;I will be back soon.
pl-en;android;-0.0327;Weź książkę i przeczytaj ją!;Take the book and read it!;0.9448;Take a book and read it!;0.9775;Take a book and read it.
pl-en;android;-0.0290;Musisz iść.;You have to go.;0.9710;You must go.;1.0000;You must go.
pl-en;android;-0.0274;Japonia zużywa dużo papieru.;Japan uses a lot of paper.;0.9726;Japan consumes a lot of paper.;1.0000;Japan consumes a lot of paper.
pl-en;android;-0.0270;Proszę bardzo, nie ma za co.;Here you go, you're welcome.;0.9208;Please, you're welcome.;0.9477;You're welcome.
pl-en;android;-0.0166;Chciałbym filiżankę kawy.;I'd like a cup of coffee.;0.9834;I would like a cup of coffee.;1.0000;I would like a cup of coffee.
pl-en;android;-0.0121;Bez obaw.;No worries.;0.9116;Without worried.;0.9237;Fear nothing.
pl-en;android;-0.0112;Rak to wielki wróg ludzkości.;Cancer is the great enemy of humanity.;0.9883;Rak is a great enemy of humanity.;0.9995;Cancer is a great enemy of humanity.
pl-en;android;-0.0063;To jest tego samego koloru co moje.;It's the same color as mine.;0.9929;This is the same color as mine.;0.9992;That is the same color as mine.
pl-en;android;-0.0009;Sen jest ważny, ale po co istnieje - to stanowi zagadkę.;Sleep is important, but why does it exist - it is a mystery.;0.9096;Dream is important, but why exists - it is a mystery.;0.9105;Despite the importance of sleep, its purpose is a mystery.
pl-en;android;-0.0004;Czasami śni mi się dom.;Sometimes I dream of a house.;0.9039;Sometimes the house is dreaming.;0.9043;I sometimes dream of home.
pl-en;android;-0.0000;Pamiętasz mnie?;Do you remember me?;1.0000;Do you remember me?;1.0000;Do you remember me?
pl-en;android;-0.0000;Co robisz?;What are you doing?;1.0000;What are you doing?;1.0000;What are you doing?
pl-en;android;-0.0000;Zawołajcie policję!;Call the police!;1.0000;Call the police!;1.0000;Call the police!
pl-en;android;-0.0000;Pamiętam pierwszy raz.;I remember the first time.;1.0000;I remember the first time.;1.0000;I remember the first time.
pl-en;android;-0.0000;Jesteś pewien?;Are you sure?;1.0000;Are you sure?;1.0000;Are you sure?
pl-en;android;-0.0000;Mam pytanie.;I have a question.;1.0000;I have a question.;1.0000;I have a question.
pl-en;android;-0.0000;Mój dom jest duży.;My house is big.;1.0000;My house is big.;1.0000;My house is big.
pl-en;android;-0.0000;To za drogo!;It's too expensive!;1.0000;It's too expensive!;1.0000;It's too expensive!
