direction;winner;gap;text;ios;ios_score;android;android_score;gold
pl-en;android;-0.5118;Kareta.;Carry.;0.4670;Four of a kind.;0.9788;Four of a kind.
pl-en;android;-0.4957;Dogonię cię.;I'll chup with you.;0.4372;I will catch up with you.;0.9328;I'll catch up with you.
pl-en;android;-0.4864;Drań!;You're a stard!;0.5076;Bastard!;0.9941;Bastard!
pl-en;android;-0.4653;Mógłbym przysiąc, że coś słyszałem.;I could have sore I heard something.;0.4465;I could swear that I heard something.;0.9118;I could've sworn I heard something.
pl-en;android;-0.4583;Kto dopingował?;Who was doping?;0.5268;Who cheered?;0.9851;Who cheered?
pl-en;android;-0.4506;Zająłem się tym.;I took dore of it.;0.4930;I took care of this.;0.9436;I took care of that.
pl-en;android;-0.4463;Kolej.;Railway.;0.5209;Turn.;0.9672;Turn.
pl-en;android;-0.4396;Nie przeklinaj.;Don't swear.;0.3474;Do not curse.;0.7869;Stop cursing.
pl-en;android;-0.4341;Ile wydałeś na swój nowy samochód?;How much did you say on your new car?;0.5187;How much did you spend on your new car?;0.9528;How much money did you spend on your car?
pl-en;android;-0.4283;Ten ptak to pliszka.;This bird is a bird.;0.5404;This bird is a wagtail.;0.9687;This bird is a wagtail.
pl-en;android;-0.4273;Musisz go zatrzymać.;You have to keep it.;0.5566;You must stop him.;0.9839;You must stop him.
pl-en;android;-0.4252;Płonęło.;It was on stire.;0.4555;Płonęło.;0.8807;It burned.
pl-en;android;-0.4123;Spadaj.;Fall.;0.5616;Get lost.;0.9739;Get lost.
pl-en;android;-0.4120;Dziwka.;Whore.;0.5614;Slut.;0.9735;Slut.
pl-en;android;-0.4108;Kładzie dzieci do łóżka.;He pouts the children in bed.;0.4440;He puts children to bed.;0.8548;She's putting the children to bed.
pl-en;android;-0.4090;Stać cię na to?;Are you at it?;0.5198;Can afford it?;0.9288;Can you afford it?
pl-en;android;-0.4003;To jest falsyfikat.;This is a fork.;0.4397;This is the Fake.;0.8400;That's a fake.
pl-en;android;-0.3820;Kapujesz?;Are you kidding me?;0.5022;Kapujesz?;0.8842;Got it?
pl-en;android;-0.3705;Nad pustynią krąży sęp.;A viscture is circling over the desert.;0.5568;A vulture is circling over the desert.;0.9273;A vulture is circling above the desert.
